Chapter,Verse,Unformatted Text,Keywords
1,1,The proverbs of Solomon son of David king of Israel,"solomon, david, israel"
1,2,To know wisdom and instruction to understand words of insight,"wisdom, instruction, insight"
1,3,to receive instruction in wise dealing in righteousness justice and equity,"wise dealing, righteousness, justice"
1,4,to give prudence to the simple knowledge and discretion to the youth,"prudence, knowledge, discretion"
1,5,Let the wise hear and increase in learning and the one who understands obtain guidance,"wise, learning, guidance"
1,6,to understand a proverb and a saying the words of the wise and their riddles,"proverb, saying, riddles"
1,7,The fear of the Lord is the beginning of knowledge fools despise wisdom and instruction,"fear, lord, knowledge"
1,8,Hear my son your fathers instruction and forsake not your mothers teaching,"hear, instruction, teaching"
1,9,for they are a graceful garland for your head and pendants for your neck,"garland, head, neck"
1,10,My son if sinners entice you do not consent,"sinners, entice, consent"
1,11,If they say Come with us let us lie in wait for blood let us ambush the innocent without reason,"ambush, innocent, blood"
1,12,like Sheol let us swallow them alive and whole like those who go down to the pit,"sheol, swallow, alive"
1,13,we shall find all precious goods we shall fill our houses with plunder,"precious goods, houses, plunder"
1,14,throw in your lot among us we will all have one purse,"lot, purse, walk"
1,15,my son do not walk in the way with them hold back your foot from their paths,"walk, hold back, foot"
1,16,for their feet run to evil and they make haste to shed blood,"feet, evil, shed blood"
1,17,For in vain is a net spread in the sight of any bird,"net, spread, bird"
1,18,but these men lie in wait for their own blood they set an ambush for their own lives,"ambush, blood, lives"
1,19,Such are the ways of everyone who is greedy for unjust gain it takes away the life of its possessors,"greedy, unjust gain, life"
1,20,Wisdom cries aloud in the street in the markets she raises her voice,"wisdom, street, voice"
1,21,at the head of the noisy streets she cries out at the entrance of the city gates she speaks,"noisy streets, cries out, city gates"
1,22,How long O simple ones will you love being simple How long will scoffers delight in their scoffing and fools hate knowledge,"simple ones, scoffers, knowledge"
1,23,If you turn at my reproof behold I will pour out my spirit to you I will make my words known to you,"turn, reproof, spirit"
1,24,Because I have called and you refused to listen have stretched out my hand and no one has heeded,"called, refused, listen"
1,25,because you have ignored all my counsel and would have none of my reproof,"ignored, counsel, reproof"
1,26,I also will laugh at your calamity I will mock when terror strikes you,"laugh, calamity, mock"
1,27,when terror strikes you like a storm and your calamity comes like a whirlwind when distress and anguish come upon you,"terror, storm, calamity"
1,28,Then they will call upon me but I will not answer they will seek me diligently but will not find me,"call, answer, seek"
1,29,Because they hated knowledge and did not choose the fear of the Lord,"hated, knowledge, fear"
1,30,would have none of my counsel and despised all my reproof,"counsel, despised, reproof"
1,31,therefore they shall eat the fruit of their way and have their fill of their own devices,"eat, fruit, way"
1,32,For the simple are killed by their turning away and the complacency of fools destroys them,"simple, turning away, complacency"
1,33,but whoever listens to me will dwell secure and will be at ease without dread of disaster,"listen, dwell secure, ease"
2,1,My son if you receive my words and treasure up my commandments with you,"reception, treasure"
